Title,PMID,ISSN
Frontiers in public health,40144997,2296-2565
Journal of viral hepatitis,40145732,1365-2893
PloS one,40146692,1932-6203
The New Zealand medical journal,40146959,1175-8716
Social science & medicine (1982),40147333,1873-5347
The Lancet. Respiratory medicine,40147466,2213-2619
International journal for equity in health,40148874,1475-9276
Annals of medicine,40151071,1365-2060
The World Allergy Organization journal,40151545,1939-4551
Social psychiatry and psychiatric epidemiology,40152969,1433-9285
Neurotoxicity research,40153181,1476-3524
"Eye (London, England)",40155536,1476-5454
Scientific reports,40155668,2045-2322
Infectious diseases of poverty,40156070,2049-9957
Biophysical journal,40156186,1542-0086
Asian journal of psychiatry,40157215,1876-2026
Neuroepidemiology,40159187,1423-0208
Journal of advanced nursing,40159682,1365-2648
Global heart,40161863,2211-8179
Tobacco induced diseases,40161903,1617-9625
Vaccine,40163977,1873-2518
BMC public health,40165166,1471-2458
Diabetes & metabolism journal,40165515,2233-6087
Frontiers in neurology,40166644,1664-2295
Frontiers in endocrinology,40166677,1664-2392
International journal of environmental health research,40167271,1369-1619
PLoS neglected tropical diseases,40168434,1935-2735
Injury,40168890,1879-0267
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,40169105,1532-8511
Frontiers in oncology,40171258,2234-943X
"International journal of surgery (London, England)",40171571,1743-9159
Headache,40172214,1526-4610
Revista de saude publica,40172474,1518-8787
American journal of respiratory and critical care medicine,40173277,1535-4970
The Lancet. Public health,40175012,2468-2667
Respiratory research,40176038,1465-993X
Cancer control : journal of the Moffitt Cancer Center,40176285,1526-2359
Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],40176668,0253-9624
Ecancermedicalscience,40177150,1754-6605
Preventive medicine reports,40177214,2211-3355
The Lancet regional health. Western Pacific,40177596,2666-6065
Kardiologia polska,40178248,1897-4279
Expert review of respiratory medicine,40178354,1747-6356
Journal of epidemiology and global health,40178730,2210-6014
JACC. Asia,40180543,2772-3747
Frontiers in nutrition,40181949,2296-861X
Frontiers in pediatrics,40181994,2296-2360
CJC open,40182400,2589-790X
Frontiers in cardiovascular medicine,40182433,2297-055X
Frontiers in cellular and infection microbiology,40182771,2235-2988
Circulation. Cardiovascular quality and outcomes,40184153,1941-7705
Public health,40184669,1476-5616
Actas dermo-sifiliograficas,40185227,1578-2190
Journal of affective disorders,40185406,1573-2517
BMJ global health,40185491,2059-7908
BMC oral health,40186217,1472-6831
Clinical and experimental pharmacology & physiology,40186501,1440-1681
European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,40186828,1435-4373
Archives of gerontology and geriatrics,40186987,1872-6976
"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)",40187497,2162-0989
Annals of general psychiatry,40188071,1744-859X
BMC cardiovascular disorders,40189529,1471-2261
Frontiers in psychiatry,40191115,1664-0640
Journal of advanced research,40194698,2090-1224
"Nutrition, metabolism, and cardiovascular diseases : NMCD",40194900,1590-3729
medRxiv : the preprint server for health sciences,40196276,
Frontiers in medicine,40196348,2296-858X
BMC medicine,40197280,1741-7015
Archives of public health = Archives belges de sante publique,40197546,0778-7367
BMC gastroenterology,40200145,1471-230X
The spine journal : official journal of the North American Spine Society,40204222,1878-1632
Archives of psychiatric nursing,40204371,1532-8228
Journal of gastroenterology and hepatology,40205306,1440-1746
The Lancet regional health. Southeast Asia,40207052,2772-3682
Journal of neurology,40208330,1432-1459
Clinical and molecular hepatology,40211871,2287-285X
EClinicalMedicine,40212048,2589-5370
Annals of medicine and surgery (2012),40213175,2049-0801
Cureus,40213741,2168-8184
The British journal of dermatology,40213811,1365-2133
European journal of pediatrics,40214799,1432-1076
"Lung cancer (Amsterdam, Netherlands)",40215614,1872-8332
"Clinical nutrition (Edinburgh, Scotland)",40215883,1532-1983
BMJ paediatrics open,40216447,2399-9772
Journal of clinical medicine,40217954,2077-0383
"Healthcare (Basel, Switzerland)",40218085,2227-9032
Nutrients,40218892,2072-6643
