Journal,Publisher,ISSN,eISSN,IF,zky
Cell Host & Microbe,CELL PRESS,1931-3128,1934-6069,20.6,1
REVIEWS IN MEDICAL VIROLOGY,WILEY,1052-9276,1099-1654,9,2
Annual Review of Virology,ANNUAL REVIEWS,2327-056X,2327-0578,8.2,1
JOURNAL OF MEDICAL VIROLOGY,WILEY,0146-6615,1096-9071,6.8,3
Current Opinion in Virology,ELSEVIER SCI LTD,1879-6257,1879-6265,5.7,2
PLoS Pathogens,PUBLIC LIBRARY SCIENCE,1553-7366,1553-7374,5.5,1
Virus Evolution,OXFORD UNIV PRESS,N/A,2057-1577,5.5,3
Tumour Virus Research,ELSEVIER,2666-6790,2666-6790,4.7,2
ANTIVIRAL RESEARCH,ELSEVIER,0166-3542,1872-9096,4.5,2
INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,ELSEVIER GMBH,1438-4221,1618-0607,4.5,2
Influenza and Other Respiratory Viruses,WILEY,1750-2640,1750-2659,4.3,3
VIROLOGICA SINICA,KEAI PUBLISHING LTD,1674-0769,1995-820X,4.3,2
Food and Environmental Virology,SPRINGER,1867-0334,1867-0342,4.1,3
JOURNAL OF CLINICAL VIROLOGY,ELSEVIER,1386-6532,1873-5967,4,3
Journal of Virology,AMER SOC MICROBIOLOGY,0022-538X,1098-5514,4,2
Virology Journal,BMC,N/A,1743-422X,4,3
Viruses-Basel,MDPI,N/A,1999-4915,3.8,3
JOURNAL OF GENERAL VIROLOGY,MICROBIOLOGY SOC,0022-1317,1465-2099,3.6,4
PHAGE-Therapy Applications and Research,"MARY ANN LIEBERT, INC",2641-6530,2641-6549,3.6,4
Journal of Virus Eradication,MEDISCRIPT LTD,2055-6640,2055-6659,3.5,3
AIDS,LIPPINCOTT WILLIAMS & WILKINS,0269-9370,1473-5571,3.4,2
INTERVIROLOGY,KARGER,0300-5526,1423-0100,3.2,4
VIROLOGY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0042-6822,1089-862X,2.8,4
Retrovirology,BMC,N/A,1742-4690,2.7,4
VIRUS RESEARCH,ELSEVIER,0168-1702,1872-7492,2.5,4
JOURNAL OF VIRAL HEPATITIS,WILEY,1352-0504,1365-2893,2.5,3
ARCHIVES OF VIROLOGY,SPRINGER WIEN,0304-8608,1432-8798,2.5,4
JOURNAL OF NEUROVIROLOGY,SPRINGER,1355-0284,1538-2443,2.3,4
JOURNAL OF VIROLOGICAL METHODS,ELSEVIER,0166-0934,1879-0984,2.2,4
Future Virology,FUTURE MEDICINE LTD,1746-0794,1746-0808,2.1,4
Frontiers in Virology,FRONTIERS MEDIA SA,N/A,2673-818X,2,4
VIRUS GENES,SPRINGER,0920-8569,1572-994X,1.9,4
Journal of Clinical Virology Plus,ELSEVIER,2667-0380,2667-0380,1.6,4
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,AOSIS,1608-9693,2078-6751,1.6,4
VIRAL IMMUNOLOGY,"MARY ANN LIEBERT, INC",0882-8245,1557-8976,1.5,4
AIDS RESEARCH AND HUMAN RETROVIRUSES,"MARY ANN LIEBERT, INC",0889-2229,1931-8405,1.5,4
ANTIVIRAL THERAPY,SAGE PUBLICATIONS LTD,1359-6535,2040-2058,1.3,4
Advances in Virology,HINDAWI LTD,1687-8639,1687-8647,1.1,4
ACTA VIROLOGICA,FRONTIERS MEDIA SA,0001-723X,1336-2305,1.1,4
CURRENT HIV RESEARCH,BENTHAM SCIENCE PUBL LTD,1570-162X,1873-4251,0.8,4
VIROLOGIE,JOHN LIBBEY EUROTEXT LTD,1267-8694,N/A,0.7,4
Annual Review of Pathology-Mechanisms of Disease,ANNUAL REVIEWS,1553-4006,1553-4014,28.4,1
ENDOCRINE PATHOLOGY,HUMANA PRESS INC,1046-3976,1559-0097,11.3,1
ACTA NEUROPATHOLOGICA,SPRINGER,0001-6322,1432-0533,9.3,1
Seminars in Immunopathology,SPRINGER HEIDELBERG,1863-2297,1863-2300,7.9,1
MODERN PATHOLOGY,ELSEVIER SCIENCE INC,0893-3952,1530-0285,7.1,1
HLA,WILEY,2059-2302,2059-2310,6.5,4
BRAIN PATHOLOGY,WILEY,1015-6305,1750-3639,5.8,2
JOURNAL OF PATHOLOGY,WILEY,0022-3417,1096-9896,5.6,2
LABORATORY INVESTIGATION,ELSEVIER SCIENCE INC,0023-6837,1530-0307,5.1,2
ADVANCES IN ANATOMIC PATHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,1072-4109,1533-4031,5.1,2
CELLULAR ONCOLOGY,SPRINGER,2211-3428,2211-3436,4.9,2
AMERICAN JOURNAL OF PATHOLOGY,ELSEVIER SCIENCE INC,0002-9440,1525-2191,4.7,2
AMERICAN JOURNAL OF SURGICAL PATHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,0147-5185,1532-0979,4.5,1
PATHOLOGICA,PACINI EDITORE,0031-2983,1591-951X,4.4,4
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,WILEY,0305-1846,1365-2990,4,2
Disease Models & Mechanisms,COMPANY BIOLOGISTS LTD,1754-8403,1754-8411,4,3
HISTOPATHOLOGY,WILEY,0309-0167,1365-2559,3.9,2
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,TAYLOR & FRANCIS AS,1473-7159,1744-8352,3.9,3
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,COLL AMER PATHOLOGISTS,0003-9985,1543-2165,3.7,3
PATHOLOGY,ELSEVIER,0031-3025,1465-3931,3.6,3
PATHOBIOLOGY,KARGER,1015-2008,1423-0291,3.5,3
JOURNAL OF MOLECULAR DIAGNOSTICS,ELSEVIER SCIENCE INC,1525-1578,1943-7811,3.4,3
Journal of Pathology Clinical Research,WILEY,N/A,2056-4538,3.4,2
VIRCHOWS ARCHIV,SPRINGER,0945-6317,1432-2307,3.4,2
Head & Neck Pathology,SPRINGER,1936-055X,1936-0568,3.2,2
JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,OXFORD UNIV PRESS INC,0022-3069,1554-6578,3.2,4
INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,SAGE PUBLICATIONS INC,0394-6320,2058-7384,3,4
PATHOLOGY RESEARCH AND PRACTICE,ELSEVIER GMBH,0344-0338,1618-0631,2.9,4
SEMINARS IN DIAGNOSTIC PATHOLOGY,W B SAUNDERS CO-ELSEVIER INC,0740-2570,1930-1111,2.9,3
EXPERIMENTAL AND MOLECULAR PATHOLOGY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0014-4800,1096-0945,2.8,4
HUMAN PATHOLOGY,W B SAUNDERS CO-ELSEVIER INC,0046-8177,1532-8392,2.7,3
JOURNAL OF ORAL PATHOLOGY & MEDICINE,WILEY,0904-2512,1600-0714,2.7,3
PATHOPHYSIOLOGY,MDPI,0928-4680,1873-149X,2.7,4
Brain Tumor Pathology,SPRINGER JAPAN KK,1433-7398,1861-387X,2.7,3
CANCER CYTOPATHOLOGY,WILEY,1934-662X,1934-6638,2.6,3
Analytical Cellular Pathology,HINDAWI LTD,2210-7177,2210-7185,2.6,4
JOURNAL OF CLINICAL PATHOLOGY,BMJ PUBLISHING GROUP,0021-9746,1472-4146,2.5,4
PATHOLOGY INTERNATIONAL,WILEY,1320-5463,1440-1827,2.5,4
CytoJournal,SCIENTIFIC SCHOLAR LLC,0974-5963,1742-6413,2.5,4
HISTOLOGY AND HISTOPATHOLOGY,F HERNANDEZ,0213-3911,1699-5848,2.5,4
Diagnostic Pathology,BMC,N/A,1746-1596,2.4,3
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,OXFORD UNIV PRESS INC,0002-9173,1943-7722,2.3,4
CYTOMETRY PART B-CLINICAL CYTOMETRY,WILEY,1552-4949,1552-4957,2.3,4
VETERINARY PATHOLOGY,SAGE PUBLICATIONS INC,0300-9858,1544-2217,2.3,2
CARDIOVASCULAR PATHOLOGY,ELSEVIER SCIENCE INC,1054-8807,1879-1336,2.3,4
PATHOLOGY & ONCOLOGY RESEARCH,FRONTIERS MEDIA SA,1219-4956,1532-2807,2.3,4
APMIS,WILEY,0903-4641,1600-0463,2.2,4
SCIENCE & JUSTICE,ELSEVIER SCI LTD,1355-0306,1876-4452,1.9,4
Clinical Pathology,SAGE PUBLICATIONS LTD,2632-010X,2632-010X,1.9,4
INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY,WILEY,0959-9673,1365-2613,1.8,4
ALZHEIMER DISEASE & ASSOCIATED DISORDERS,LIPPINCOTT WILLIAMS & WILKINS,0893-0341,0893-0341,1.8,4
Journal of Pathology and Translational Medicine,KOREAN SOC PATHOLOGISTS,2383-7837,2383-7845,1.7,4
INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,0277-1691,1538-7151,1.6,4
JOURNAL OF CUTANEOUS PATHOLOGY,WILEY,0303-6987,1600-0560,1.6,4
ACTA CYTOLOGICA,KARGER,0001-5547,1938-2650,1.6,4
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,LIPPINCOTT WILLIAMS & WILKINS,1541-2016,1533-4058,1.5,4
Forensic Science Medicine and Pathology,HUMANA PRESS INC,1547-769X,1556-2891,1.5,4
Annals of Diagnostic Pathology,ELSEVIER SCIENCE INC,1092-9134,1532-8198,1.5,4
FOLIA NEUROPATHOLOGICA,TERMEDIA PUBLISHING HOUSE LTD,1641-4640,1509-572X,1.5,4
